Category,Product,Brand,Weekly Sales
Grocery,Organic Whole Wheat Bread,GreenValley,512.34
Clothing,Round Neck Full Sleeve Pink T-shirt,UrbanWear,789.12
Beauty,Matte Red Lipstick,GlamourX,132.54
Electronics,Gaming Laptop,TechMaster,1420.76
Tableware,Fine China Dinner Plate,RoyalDine,289.32
Grocery,Low-Fat Almond Milk,NutriLife,233.45
Clothing,Blue Cotton Crop Top,Fashionista,614.78
Beauty,SPF 50 Foundation,Naturals,299.21
Electronics,Noise-Cancelling Headphones,GadgetPro,350.92
Tableware,Crystal Wine Glass,EleganceHome,412.89
Grocery,Aged Cheddar Cheese,HarvestFields,278.64
Clothing,Leather Biker Jacket,Elegance,987.56
Beauty,Volumizing Mascara,Radiance,198.76
Electronics,5G Smartphone,SmartLife,1102.34
Tableware,Silver Soup Spoon,MasterCraft,154.67
Grocery,Gluten-Free Cereal,GoldenGrains,324.21
Clothing,Red Evening Gown,Fashionista,1199.89
Beauty,Rose Scented Perfume,GlamourX,564.23
Electronics,10-Inch Tablet,ElectroMax,799.45
Tableware,Golden Steel Butter Knife,MasterCraft,214.32
Grocery,Imported Italian Pasta,PureNature,467.78
Clothing,Running Shoes,FitFlex,321.67
Beauty,Argan Oil Shampoo,PureBeauty,182.34
Electronics,DSLR Camera,VisionX,1345.89
Tableware,Bamboo Chopsticks,MasterCraft,125.89
Grocery,Basmati Rice,GreenValley,512.9
Clothing,Woolen Scarf,TrendSetters,218.45
Beauty,Keratin Conditioner,LuxeCare,295.18
Electronics,Fitness Tracker,GadgetPro,431.76
Tableware,Porcelain Tea Cup,RoyalDine,179.32
Grocery,Organic Honey,NutriLife,652.12
Clothing,High-Waisted Jeans,Elegance,399.89
Beauty,Charcoal Face Mask,Radiance,245.67
Electronics,Wireless Charging Pad,SmartLife,239.45
Tableware,Wooden Salad Bowl,EleganceHome,218.34
Grocery,Dark Chocolate,HarvestFields,432.67
Clothing,Silk Tie,UrbanWear,188.76
Beauty,Organic Body Lotion,LuxeCare,326.89
Electronics,Bluetooth Speaker,TechMaster,356.78
Tableware,Copper Water Jug,GourmetChoice,342.45
Grocery,Vegetable Oil,GoldenGrains,412.98
Clothing,Denim Shorts,Fashionista,298.45
Beauty,Waterproof Eyeliner,Naturals,143.54
Electronics,4K Ultra HD TV,VisionX,1456.78
Tableware,Stainless Steel Fork,RoyalDine,197.65
Grocery,Greek Yogurt,PureNature,287.45
Clothing,Polka Dot Blouse,TrendSetters,239.89
Beauty,Aloe Vera Gel,PureBeauty,188.45
Electronics,Smart Thermostat,ElectroMax,521.34
Tableware,Ceramic Mug,FineTable,115.23
Grocery,Almond Butter,HarvestFields,395.67
Clothing,Sports Bra,FitFlex,210.45
Beauty,Anti-Aging Serum,Radiance,312.34
Electronics,Smart Home Assistant,ElectroMax,789.23
Tableware,Stoneware Dinner Plate,MasterCraft,276.54
Grocery,Quinoa,NutriLife,478.9
Clothing,Leather Belt,UrbanWear,145.67
Beauty,Nail Polish Set,GlamourX,185.23
Electronics,Portable Power Bank,GadgetPro,319.45
Tableware,Stainless Steel Tumbler,GourmetChoice,196.78
Grocery,Organic Brown Sugar,GoldenGrains,254.32
Clothing,Summer Dress,Fashionista,367.89
Beauty,Coconut Hair Oil,PureBeauty,268.45
Electronics,Digital Photo Frame,VisionX,234.67
Tableware,Glass Water Bottle,FineTable,165.32
Grocery,Gluten-Free Bread,PureNature,321.67
Clothing,Waterproof Jacket,Elegance,445.78
Beauty,Brightening Face Cream,LuxeCare,386.45
Electronics,Home Security Camera,TechMaster,514.32
Tableware,Non-Stick Frying Pan,RoyalDine,298.54
Grocery,Oat Milk,GreenValley,238.76
Clothing,Striped Sweater,TrendSetters,314.12
Beauty,Herbal Face Wash,Naturals,174.65
Electronics,VR Headset,GadgetPro,896.34
Tableware,Cast Iron Skillet,EleganceHome,367.45
Grocery,Organic Peanut Butter,GoldenGrains,279.32
Clothing,Graphic Tee,UrbanWear,210.89
Beauty,Micellar Water,PureBeauty,162.34
Electronics,Smart Light Bulb,ElectroMax,145.23
Tableware,Bamboo Cutting Board,MasterCraft,253.67
